"","prod_name.prod_name.i.","youtubeContent.items.id.channelId.1."
"1","Vertical Entertainment","UCpR3kmSyTYszJHWEcmpcnFQ"
"2","Netflix","UCWOA1ZGywLbqmigxE4Qlvuw"
"3","HBO Max ","UCx-KWLTKlB83hDI6UKECtJQ"
"4"," Warner Bros. Pictures","UCjmJDM5pRKbUlVIzDYYWb6g"
"5","Netflix ","UCWOA1ZGywLbqmigxE4Qlvuw"
"6"," Clerkenwell Films",NA
"7","Open Road Films","UClt5Bst8Ji05dZvTUdnO85g"
"8","Hulu","UCE5mQnNl8Q4H2qcv4ikaXeA"
"9","Lionsgate ","UCJ6nMHaJPZvsJ-HmUmj1SeA"
"10"," Saban Films","UCkaUErzjD9UUM8D-loIm5vA"
"11","Gravitas Ventures ","UCO7rKYuE7EMHYFcwP-obqhg"
"12","IFC Films","UCOn923UnbV8H9zo_lO6ZCRw"
"13","Lionsgate","UCJ6nMHaJPZvsJ-HmUmj1SeA"
"14","Saban Films ","UCkaUErzjD9UUM8D-loIm5vA"
"15"," Constantin Film","UC51KZjUZokzJfb08mzAGS2A"
"16"," Roadshow Films","UCSi5779nMiFTbLm3prHaa1g"
"17","Warner Bros. Pictures ","UCjmJDM5pRKbUlVIzDYYWb6g"
"18"," HBO Max","UCx-KWLTKlB83hDI6UKECtJQ"
"19","Searchlight Pictures ","UCor9rW6PgxSQ9vUPWQdnaYQ"
"20"," Hulu","UCE5mQnNl8Q4H2qcv4ikaXeA"
"21","Apple TV+","UC1Myj674wRVXB9I4c6Hm5zA"
"22","Quiver Distribution","UC_go6P0dmSPFeL95NZVXNkw"
"23","Amazon Studios","UCyouSlyNTfwX_pnGvlfIL3Q"
"24","IFC Films ","UCOn923UnbV8H9zo_lO6ZCRw"
"25","Dark Star Pictures","UCG9F5sa7uMQaQy_i5wFttIQ"
"26"," Participant ","UCaqPIODQHO1PsNLrfi-ejEA"
"27"," Bron Creative ","UCieuazCd9PNnMK3hxg3U3Kg"
"28","STXfilms ","UCtlp8d4cZg2eMrVbq7vxg9w"
"29"," AGC Studios ",NA
"30","A24 ","UCuPivVjnfNo4mb3Oog_frZg"
"31"," Plan B Entertainment","UC2OhPeOJFrgDivUkS8y_ngw"
"32","Bleecker Street ",NA
"33"," Ingenious Media","UCpeTNk_sh1WccYClS0nWomw"
"34","Sony Pictures Classics","UCruD_lL-5fmllpKMSL-yCyQ"
"35","Focus Features ","UCU4SM3j_9TNWaSu8KdGV50g"
"36","Screen Media Films","UCKU6iJRsW9hrZkJhMh9ZgMw"
"37"," Amazon Studios ","UCyouSlyNTfwX_pnGvlfIL3Q"
"38"," STXfilms ","UCtlp8d4cZg2eMrVbq7vxg9w"
"39","Disney+ ","UCIrgJInjLS2BhlHOMDW7v0g"
"40"," Walt Disney Pictures",NA
"41","Hulu ","UCE5mQnNl8Q4H2qcv4ikaXeA"
"42"," Roth",NA
"43","Apple TV+ ","UC1Myj674wRVXB9I4c6Hm5zA"
"44"," AGBO",NA
"45","Neon ",NA
"46"," Apple TV+","UC1Myj674wRVXB9I4c6Hm5zA"
"47","IFC Midnight ","UCOn923UnbV8H9zo_lO6ZCRw"
"48"," Blumhouse Productions","UCCEfOHkckMXnoZQAjUZsMig"
"49","Amazon Studios ","UCyouSlyNTfwX_pnGvlfIL3Q"
"50"," Paramount Pictures","UCF9imwPMSGz4Vq1NiTWCC7g"
"51"," MRC",NA
"52","Walt Disney Pictures ",NA
"53"," Walt Disney Animation Studios ","UC_976xMxPgzIa290Hqtk-9g"
"54"," Disney+","UCIrgJInjLS2BhlHOMDW7v0g"
"55","Focus Features","UCU4SM3j_9TNWaSu8KdGV50g"
"56","Saban Films","UCkaUErzjD9UUM8D-loIm5vA"
"57"," Warner Bros. Pictures ","UCjmJDM5pRKbUlVIzDYYWb6g"
"58"," DC Films ",NA
"59"," Atlas Entertainment ","UCcwLgHQvgkUimERhaLOESQQ"
"60"," Miramax",NA
"61","Universal Pictures ","UCq0OueAsdxH6b8nyAspwViw"
"62"," Orion Pictures",NA
"63","Vertical Entertainment ","UCpR3kmSyTYszJHWEcmpcnFQ"
"64"," Voltage Pictures","UC9S7BBUoWErI-50YI2ASoiw"
"65"," Legendary Entertainment ","UCAVadSTSh382kte-fQHqMNw"
"66","Atlas Distribution Company",NA
"67","Freestyle Releasing","UC-ZrPpPr79psf_4Y6AbIxSA"
"68","Uncork'd Entertainment","UCLF1VMXwqk47ND9-cIFf_Pw"
"69"," Titmouse, Inc.","UC_rO4C_n-VER2E9425WnAAQ"
"70","Neon",NA
"71"," XYZ Films","UC82a54ONoesmTcQInXvFl9A"
"72"," Atomic Monster Productions ","UC7RwLghHbL3qZfQZ9ptIQgg"
"73"," Sony Pictures Animation","UCnLuLSV-Oi0ctqjxGgxFlmg"
