"","X","word","sentiment","n"
"1",1,"dark","negative",123
"2",2,"break","negative",128
"3",3,"bloody","negative",142
"4",4,"bad","negative",145
"5",5,"fall","negative",152
"6",6,"jolt","negative",155
"7",7,"sneak","negative",195
"8",8,"funny","negative",203
"9",9,"orphan","negative",378
"10",10,"excite","positive",469
"11",11,"mighty","positive",495
"12",12,"right","positive",544
"13",13,"inspire","positive",563
"14",14,"worth","positive",604
"15",15,"great","positive",737
"16",16,"thank","positive",808
"17",17,"like","positive",810
"18",18,"love","positive",895
"19",19,"miss","negative",1558
"20",20,"good","positive",2609
